epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.1066,3.16871,0.27055,0.61301,2.76816,0.000106929,0.000106929,0.000106929
2,58.9407,2.53332,0.42466,0.79452,2.04033,0.000193351,0.000193351,0.000193351
3,88.0797,1.86687,0.57192,0.89726,1.40596,0.000258455,0.000258455,0.000258455
4,112.327,1.53485,0.62329,0.90411,1.30996,0.000227069,0.000227069,0.000227069
5,140.511,1.34262,0.63699,0.91438,1.08257,0.000195092,0.000195092,0.000195092
6,167.871,1.21685,0.64384,0.93493,1.15317,0.000163115,0.000163115,0.000163115
7,195.083,1.16168,0.64726,0.94178,1.02778,0.000131138,0.000131138,0.000131138
8,221.243,1.09155,0.66096,0.94521,1.01084,9.9161e-05,9.9161e-05,9.9161e-05
9,248.184,1.05969,0.66096,0.95205,1.13936,6.7184e-05,6.7184e-05,6.7184e-05
10,276.655,1.01837,0.67123,0.94178,1.04941,3.5207e-05,3.5207e-05,3.5207e-05
